"id";"regnumber";"lotsize";"shortname"
"LENT";"1-01-16686-A";1;"Лента ао"
"LIFE";"1-02-09669-J";100;"Фармсинтез"
"LKOH";"1-01-00077-A";1;"ЛУКОЙЛ"
"LMBZ";"1-01-09188-H";1;"Ламбумиз"
"LNZL";"1-02-40433-N";1;"Лензолото"
"LNZLP";"2-02-40433-N";1;"Лензол. ап"
"LPSB";"1-01-65097-D";100;"ЛЭСК ао"
"LQDT";"3915";1;"LQDT ETF"
"LSNG";"1-01-00073-A";100;"РСетиЛЭ"
"LSNGP";"2-01-00073-A";10;"РСетиЛЭ-п"
"LSRG";"1-01-55234-E";1;"ЛСР ао"
"LVHK";"1-01-04329-D";100;"Левенгук"
"MAGE";"1-01-00254-A";100;"МагадЭн ао"
"MAGEP";"2-01-00254-A";100;"МагадЭн ап"
"MAGN";"1-03-00078-A";10;"ММК"
"MBNK";"10102268B";1;"МТС Банк"
"MDMG";"1-01-16802-A";1;"MDMG-ао"
"MFGS";"1-03-00149-A";10;"Мегион-ао"
"MFGSP";"2-03-00149-A";10;"Мегион-ап"
"MGKL";"1-01-11915-A";100;"МГКЛ"
"MGNT";"1-01-60525-P";1;"Магнит ао"
"MGNZ";"1-01-00283-A";1;"СМЗ-ао"
"MGTS";"1-05-00083-A";1;"МГТС-5ао"
"MGTSP";"2-04-00083-A";1;"МГТС-4ап"
"MISB";"1-01-50086-A";100;"ТНСэнМарЭл"
"MISBP";"2-01-50086-A";100;"ТНСэМаЭл-п"
"MKBD";"4474";1;"MKBD ETF"
"MOEX";"1-05-08443-H";10;"МосБиржа"
"MONY";"6661";1;"MONY ETF"
"MRKC";"1-01-10214-A";1000;"РоссЦентр"
"MRKK";"1-01-34747-E";10;"Россети СК"
"MRKP";"1-01-12665-E";10000;"РСетиЦП ао"
"MRKS";"1-01-12044-F";1000;"РсетСиб ао"
"MRKU";"1-01-32501-D";10000;"Россети Ур"
"MRKV";"1-01-04247-E";10000;"РсетВол ао"
"MRKY";"1-01-34956-E";10000;"РоссЮг ао"
"MRKZ";"1-01-03347-D";10000;"РСетиСЗ ао"
"MRSB";"1-01-55055-E";10000;"МордЭнСб"
"MSNG";"1-01-00085-A";1000;"'+МосЭнерго"
"MSRS";"1-01-65116-D";1000;"РСетиМР ао"
"MSTT";"1-03-02472-A";10;"Мостотрест"
"MTLR";"1-01-55005-E";1;"Мечел ао"
"MTLRP";"2-01-55005-E";10;"Мечел ап"
"MTSS";"1-01-04715-A";10;"МТС-ао"
"MVID";"1-02-11700-A";1;"М.видео"
"NAUK";"1-01-04440-A";10;"iНПОНаука"
"NFAZ";"1-01-30520-D";10;"НЕФАЗ"
"NFKL";"7852";1;"NFKL ETF"
"NKHP";"1-03-35684-E";10;"НКХП ао"
"NKNC";"1-02-00096-A";10;"НКНХ ао"
"NKNCP";"2-02-00096-A";10;"НКНХ ап"
"NKSH";"1-02-55032-D";100;"Нижкамшина"
"NLMK";"1-01-00102-A";10;"НЛМК ао"
"NMTP";"1-01-30251-E";100;"НМТП ао"
"NNSB";"1-01-55072-E";1;"ТНСэнНН ао"
"NNSBP";"2-01-55072-E";1;"ТНСэнНН ап"
"NSVZ";"1-01-12689-A";10;"iНаукаСвяз"
"NVTK";"1-02-00268-E";1;"Новатэк ао"
"OBLG";"3647";1;"OBLG ETF"
"OFZS";"7801";1;"OFZS ETF"
"OGKB";"1-02-65105-D";1000;"ОГК-2 ао"
"OKEY";;10;"OKEY-гдр"
"OLIQ";"7797";1;"OLIQ ETF"
"OMZZP";"2-01-30174-D";1;"ОМЗ-ап"
"OZON";"1-01-17182-A";1;"Озон"
"OZPH";"1-01-10877-P";10;"iОзонФарм"
"PAZA";"1-02-00261-A";1;"ПавлАвт ао"
"PHOR";"1-02-06556-A";1;"ФосАгро ао"
"PIKK";"1-02-01556-A";1;"ПИК ао"
"PLZL";"1-01-55192-E";1;"Полюс"
"PMSB";"1-01-55084-E";10;"ПермьЭнСб"
"PMSBP";"2-01-55084-E";10;"ПермьЭнС-п"
"POSI";"1-01-85307-H";1;"iПозитив"
"PRFN";"1-01-45194-D";100;"ТЕПЛАНТ ао"
"PRIE";"4362";1;"PRIE ETF"
"PRMB";"10103001B";1;"Приморье"
"PRMD";"1-01-01622-G";1;"iПРОМОМЕД"
"PSGM";"6919";1;"PSGM ETF"
"PSMM";"6170";1;"PSMM ETF"
"PSRB";"6626";1;"PSRB ETF"
"PSRE";"7155";1;"PSRE ETF"
"RAGR";"1-01-14044-A";1;"Русагро"
"RASP";"1-04-21725-N";10;"Распадская"
"RBCM";"1-02-56413-H";100;"ГК РБК ао"
"RDRB";"10201573B";10;"РДБанк ао"
"RENI";"1-01-10601-Z";10;"Ренессанс"
"RGSS";"1-03-10003-Z";1000;"РГС СК ао"
"RKKE";"1-03-01091-A";1;"ЭнергияРКК"
"RNFT";"1-02-39134-H";1;"РуссНфт ао"
"ROLO";"1-01-15065-A";1000;"Русолово"
"ROSN";"1-02-00122-A";1;"Роснефть"
"ROST";"1-02-55033-E";10;"РОСИНТЕРао"
"RSHU";"3906";1;"RSHU ETF"
"RTGZ";"1-02-30742-E";1;"ГР Ростов"
"RTKM";"1-01-00124-A";10;"Ростел -ао"
"RTKMP";"2-01-00124-A";10;"Ростел -ап"
"RTSB";"1-01-50095-A";1000;"ТНСэнРст"
"RTSBP";"2-01-50095-A";1000;"ТНСэнРст-п"
"RU0005418747";"0029-18610555";1;"ФондПервый"
"RU0006922010";"0056-56658088";1;"ФондКонс"
"RU0006922044";"0053-56612554";1;"БКСАкцрост"
"RU000A0HGNG6";"0363-75409054";1;"АрсагераФА"
"RU000A0HGNH4";"0364-75409132";1;"ПИФАрсСИ"
"RU000A0JP773";"0278-58233720";1;"БКС РосАкц"
"RU000A0JP799";"0140-58233625";1;"БКС РосОбл"
"RU000A0JPMD2";"0439-75408664";1;"ПИФАрс6.4"
"RU000A0JPZL7";"1076-58229138";100;"АкБрс-Инв"
"RU000A0JPZP8";"0792-75407676";1;"АкБрс-Прсп"
"RU000A0JR282";"0968-94131582";10;"ПИФ Акции"
"RU000A0JR290";"0177-71671092";1;"ПИФИнМосБр"
"RU000A0JR2A5";"0962-94131346";100;"ПИФСбалан"
"RU000A0JR2C1";"0089-59893097";10;"ПИФКазна"
"RU000A0JRHC0";"1899-94168527";1;"ПИФ АТРИУМ"
"RU000A0JRUQ3";"0078-58234010";1;"ТКБИП Сбал"
"RU000A0JUR61";"2006-94172747";1;"ПИФ КОНСЕР"
"RU000A0JUYB1";"0521-75409008";1;"ЗПИФЛофтин"
"RU000A0JVJ29";"2515";1;"БКСДрагМет"
"RU000A0JWCE7";"2423";1;"Перловский"
"RU000A0JXP78";"3164";1;"ЗПИФДОМ.РФ"
"RU000A0JXWF0";"2721";1;"АрсКР1.55"
"RU000A0ZYC64";"3219";1;"СоврАрБиз2"
"RU000A0ZZ5R2";"3445";1;"СоврАрБиз3"
"RU000A0ZZCD8";"3483";1;"ИПИФМирИнв"
"RU000A0ZZMD7";"2567";1;"РСХБ Облиг"
"RU000A0ZZME5";"2797";1;"РСХБКазнач"
"RU000A0ZZML0";"2566";1;"РСХБ Сбал"
"RU000A0ZZMN6";"2568";1;"РСХБ Акции"
"RU000A0ZZVH9";"3447";1;"ГПБУАЕОбИП"
"RU000A1000W4";"3606";1;"ХаризмИдеи"
"RU000A1000Y0";"3638";1;"iпре-АйПиО"
"RU000A100EQ2";"3665";1;"БКС РосЕвр"
"RU000A100WZ5";"3872";1;"АКЦЕНТ 4"
"RU000A101NK4";"3964";1;"ЗПИФ ФПР"
"RU000A101UK9";"2416";1;"ОРЕОЛСтрой"
"RU000A101UY0";"4073";1;"ОПИФ MM"
"RU000A1022Z1";"4095-СД";1;"ПАРУС-ОЗН"
"RU000A1027E5";"4025";1;"ЗПИФ ВДО"
"RU000A102AH5";"4171";1;"ЗПИФСовр 6"
"RU000A102N77";"3891";1;"ЗПИФРД"
"RU000A102PE0";"4280-СД";1;"Фондсуб1"
"RU000A102PF7";"4281-СД";1;"Фондсуб2"
"RU000A102PN1";"4265";1;"ПИФАльфаФФ"
"RU000A102PQ4";"4283-СД";1;"ФондСубРуб"
"RU000A1034U7";"4416";1;"СФНАрБиз7"
"RU000A103B62";"4455-СД";1;"РенДохПРО"
"RU000A103HD7";"4508";1;"ЗПИФРД2"
"RU000A104172";"4559-СД";1;"ПАРУС-СБЛ"
"RU000A104KU3";"4570-СД";1;"ПАРУС-НОРД"
"RU000A104M43";"3343";1;"ПИФ Аленка"
"RU000A104YX8";"4857-СД";1;"ЗПИФКомНед"
"RU000A105153";"4853-СД";1;"ХеджФондР5"
"RU000A105328";"4604-СД";1;"ПАРУС-ЛОГ"
"RU000A105GY0";"5036-СД";1;"ЗПИФПервСп"
"RU000A105R70";"4826-СД";1;"Аннапурна"
"RU000A105RJ8";"4140";1;"РСХБДолРын"
"RU000A105TU1";"5270";1;"БКСКапитал"
"RU000A1068X9";"4434-СД";1;"ПАРУС-ДВН"
"RU000A106CX9";"5420";1;"ЗПИФА-ЮМ"
"RU000A106G80";"5435-СД";1;"ТКЗамещОбл"
"RU000A106LB6";"5476-СД";1;"ВсеСзПортф"
"RU000A106LC4";"5475-СД";1;"МаксВозм"
"RU000A106MG3";"5314-СД";1;"ХеджФондД5"
"RU000A106N57";"5509-СД";1;"Атон-Об2.0"
"RU000A106SA3";"5576-СД";1;"Телескоп А"
"RU000A106XE5";"5617-СД";10000;"Саммит"
"RU000A1075T2";"4843-СД";1;"ЗПИФ Рубин"
"RU000A107860";"5313-СД";1;"ХеджФондЮ5"
"RU000A1079J5";"5493-СД";1;"ХеджФондД1"
"RU000A107J37";"5948";1;"ПИФ СЖН"
"RU000A107RE5";"6002";1;"ПИФ Коллек"
"RU000A107U08";"6022";1;"РазумИнвес"
"RU000A108751";"6101-СД";1;"ПИФПромПар"
"RU000A108KP4";"6157-СД";1;"ХеджФондА+"
"RU000A108TT7";"6266";1;"БКСДивАкци"
"RU000A108UH0";"5849-СД";1;"ПАРУС-КРАС"
"RU000A108VR7";"6219-СД";1;"ПАРУС-МАКС"
"RU000A108ZB2";"6323-СД";1;"2хОФЗ"
"RU000A1092L4";"6211";1;"ПИФАКТИВ20"
"RU000A1095D4";"6366-СД";1;"Атон - ОФЗ"
"RU000A1099U0";"6412";1;"ЗПИФСовр 9"
"RU000A109G79";"6234-СД";1;"ПИФГРИНФЛО"
"RU000A109GQ8";"6461";1;"ПИФСкладК2"
"RU000A109NL5";"6516-СД";1;"ТЕТИС ИН"
"RU000A109QR5";"5096";1;"ААА Золото"
"RU000A109R27";"6545-СД";1;"2х Акции"
"RU000A10A489";"6648-СД";1;"ПИФПарки2"
"RU000A10AN72";"6761-СД";1;"Синара"
"RU000A10AQT4";"6815-СД";10;"Достояние"
"RU000A10ATA8";"6721";1;"ПИФАКТИВФЛ"
"RU000A10BBS6";"6831-СД";1;"ПАРУС-НиНо"
"RU000A10BM31";"7031-СД";1;"ВИМ Вал пл"
"RU000A10BQP0";"7057";1;"БКС ОФЗ ВД"
"RU000A10BQQ8";"6843-СД";1;"ЛАХТА ПАРК"
"RU000A10BT26";"7074-СД";1;"ЗПИФА-Т"
"RU000A10BT42";"7090-СД";1;"ФЖН-1"
"RU000A10CFM8";"7223-СД";1;"ПАРУС-ЗОЛЯ"
"RU000A10CKQ9";"7030-СД";1;"АлфаКомНед"
"RU000A10CLY1";"7004";1;"ПИФАКТИВ21"
"RU000A10D7W9";"7371-СД";1;"СинараВОбл"
"RU000A10D814";"7368-СД";1;"ТермКап"
"RU000A10E3R7";"7411";1;"ПИФАКТИВ22"
"RU000A10ECF5";"7607-СД";1;"Атон-ПфСтр"
"RU000A10ECJ7";"7604-СД";1;"Атон Выбор"
"RU000A10EVE8";"7728-СД";1;"ПАРУС-МВ"
"RU000A10F439";"7770-СД";1;"ПИФПарки3"
"RU000A10FDU9";"7837";1;"РСХБ Смарт"
"RU000A10FQ17";"7971";1;"БКС ДР ВД"
"RUAL";"1-01-16677-A";10;"РУСАЛ ао"
"RUFO";"7800";1;"RUFO ETF"
"RUSI";"1-01-00409-A";10;"ИКРУСС-ИНВ"
"RZSB";"1-01-50092-A";100;"РязЭнСб"
"SAFE";"4431";1;"SAFE ETF"
"SAGO";"1-02-00127-A";1000;"СамарЭн-ао"
"SAGOP";"2-02-00127-A";1000;"СамарЭн-ап"
"SARE";"1-02-00132-A";10000;"СаратЭн-ао"
"SAREP";"2-02-00132-A";10000;"СаратЭн-ап"
"SBBC";"6938";1;"SBBC ETF"
"SBBY";"5472";1;"SBBY ETF"
"SBCB";"3636";1;"SBCB ETF"
"SBCN";"5230";1;"SBCN ETF"
"SBDS";"4428";1;"SBDS ETF"
"SBER";"10301481B";1;"Сбербанк"
"SBERP";"20301481B";1;"Сбербанк-п"
"SBFR";"5972";1;"SBFR ETF"
"SBGB";"3629";1;"SBGB ETF"
"SBGD";"5061";1;"SBGD ETF"
"SBHI";"4678";1;"SBHI ETF"
"SBLB";"6079";1;"SBLB ETF"
"SBMM";"4607";1;"SBMM ETF"
"SBMX";"3555";1;"SBMX ETF"
"SBPS";"4427";1;"SBPS ETF"
"SBRB";"3785";1;"SBRB ETF"
"SBRI";"4162";1;"SBRI ETF"
"SBRS";"4426";1;"SBRS ETF"
"SBSC";"5649";1;"SBSC ETF"
"SCFT";"4654";1;"SCFT ETF"
"SCLI";"6268";1;"SCLI ETF"
"SELG";"1-01-32694-F";10;"Селигдар"
"SFIN";"1-02-56453-P";1;"ЭсЭфАй ао"
"SGZH";"1-01-87154-H";100;"Сегежа"
"SIBN";"1-01-00146-A";1;"Газпрнефть"
"SILA";"7307";1;"SILA ETF"
"SIPO";"6312";1;"SIPO ETF"
"SLEN";"1-03-00272-A";100;"Сахэнер ао"
"SMCF";"6833";1;"SMCF ETF"
"SMLT";"1-01-16493-A";1;"Самолет ао"
"SNGS";"1-01-00155-A";100;"Сургнфгз"
"SNGSP";"2-01-00155-A";10;"Сургнфгз-п"
"SOFL";"1-01-45848-H";10;"iСофтлайн"
"SPBE";"1-01-55439-E";1;"СПБ Биржа"
"SPRN";"7610";1;"SPRN ETF"
"STME";"4429";1;"STME ETF"
"STSB";"1-01-50119-A";1000;"ЕГП"
"STSBP";"2-01-50119-A";1000;"ЕГП ап"
"SUGB";"4121";1;"SUGB ETF"
"SVAV";"1-01-02461-D";1;"СОЛЛЕРС"
"SVCB";"10100963B";100;"Совкомбанк"
"SVET";"1-01-24350-J";1;"Светофор"
"SVETP";"2-01-24350-J";1;"Светофор п"
"T";"1-01-16784-A";1;"Т-Техно ао"
"TASB";"1-01-65100-D";1000;"ТамбЭнСб"
"TASBP";"2-01-65100-D";10000;"ТамбЭнСб-п"
"TATN";"1-03-00161-A";1;"Татнфт 3ао"
"TATNP";"2-03-00161-A";1;"Татнфт 3ап"
"TBEU";"4618";1;"TBEU ETF"
"TBRU";"4458";1;"TBRU ETF"
"TDIV";"5707";1;"TDIV ETF"
"TEUR";"3899";1;"TEUR ETF"
"TGKA";"1-01-03388-D";100000;"ТГК-1"
"TGKB";"1-01-10420-A";1000000;"ТГК-2"
"TGKBP";"2-01-10420-A";100000;"ТГК-2 ап"
"TGKN";"1-01-22451-F";100000;"ТГК-14"
"TGLD";"4098";1;"TGLD ETF"
"TITR";"6126";1;"TITR ETF"
"TLCB";"5728";1;"TLCB ETF"
"TMON";"5229";1;"TMON ETF"
"TMOS";"4100";1;"TMOS ETF"
"TNSE";"1-01-15521-A";1;"ТНСэнрг ао"
"TOFZ";"6635";1;"TOFZ ETF"
"TOPS";"7798";1;"TOPS ETF"
"TORS";"1-01-50128-A";10000;"РСТомск ао"
"TORSP";"2-01-50128-A";10000;"РСТомск ап"
"TPAY";"6287";1;"TPAY ETF"
"TRMK";"1-01-29031-H";10;"ТМК ао"
"TRND";"6876";1;"TRND ETF"
"TRNFP";"2-01-00206-A";1;"Транснф ап"
"TRUR";"3900";1;"TRUR ETF"
"TSAV";"7939";1;"TSAV ETF"
"TTLK";"1-02-50049-A";1000;"Таттел. ао"
"TUSD";"3898";1;"TUSD ETF"
"TUZA";"1-01-30455-D";10;"ТЗА ао"
"UGLD";"1-02-33010-D";1000;"ЮГК"
"UKUZ";"1-02-10591-F";1;"ЮжКузб. ао"
"UNAC";"1-02-55306-E";1000;"iАвиастКао"
"UNKL";"1-01-00197-A";1;"ЮУНК ао"
"UPRO";"1-02-65104-D";1000;"Юнипро ао"
"URKZ";"1-01-32341-D";1;"УрКузница"
"USBN";"10200030B";10000;"УралСиб ао"
"UTAR";"1-01-00077-F";100;"ЮТэйр ао"
"UWGN";"1-01-82031-H";1;"ОВК ао"
"VDOR";"7681";1;"VDOR ETF"
"VEON-RX";;10;"VEON"
"VGSB";"1-01-65103-D";1000;"ВолгЭнСб"
"VGSBP";"2-01-65103-D";1000;"ВолгЭнСб-п"
"VJGZ";"1-01-00017-A";1;"Варьеган"
"VJGZP";"2-01-00017-A";1;"Варьеган-п"
"VKCO";"1-01-16753-A";1;"МКПАО ""ВК"""
"VLHZ";"1-02-04847-A";10;"ВХЗ-ао"
"VRSB";"1-01-55029-E";10;"ТНСэнВорон"
"VRSBP";"2-01-55029-E";10;"ТНСэнВор-п"
"VSEH";"1-01-06636-G";1;"ВИ.ру"
"VSMO";"1-01-30202-D";1;"ВСМПО-АВСМ"
"VSYD";"1-01-02203-D";1;"ВыбСудЗ ао"
"VSYDP";"2-01-02203-D";1;"ВыбСудЗ ап"
"VTBR";"10401000B";1;"ВТБ ао"
"WILD";"6972";1;"WILD ETF"
"WTCM";"1-01-01837-A";100;"ЦМТ ао"
"WTCMP";"2-01-01837-A";100;"ЦМТ ап"
"WUSH";"1-01-03292-G";1;"iВУШХолднг"
"X5";"1-01-16812-A";1;"КЦ ИКС 5"
"XACCSK";"7385";1;"Акцент 5"
"XAVIUM";"7854-СД";1;"Авиум"
"XCREDI";"2933";1;"ПИФКредрес"
"XEQTRU";"6352-СД";1;"РуАк120/80"
"XFMAGR";"5405-СД";1;"ФАлгоритм"
"XFMAGY";"6579-СД";1;"ФАлгоритмЮ"
"XFMAIN";"5648-СД";1;"ФАбсолютД"
"XFMOMB";"7130-СД";1;"ФОмегаБлнс"
"XHEDGE";"4113-СД";1;"Тактикреш"
"XHOUSE";"6487";1;"ЗПИФ ИНВНД"
"XIPKSV";"6953-СД";1;"ИПИФСтабВл"
"XKLUCH";"7586-СД";10;"КлючАктив"
"XNIRUM";"7309-СД";1;"Нирум Кап"
"XQUANT";"6285-СД";100;"ПИФ КВАНТ"
"XSBORA";"7658-СД";1;"Бора-Бора"
"XSECUR";"7951-СД";1;"XSECUR"
"XSKLAD";"7347";10;"ЗПИФСовр10"
"XTRIUMF";"6109-СД";1;"ПАРУС-ТРМ"
"XXRONE";"6859-СД";1;"ОблигацииР"
"XXXXXX";"6069-СД";1;"Рентал ПРО"
"YAKG";"1-01-20510-F";10;"ЯТЭК ао"
"YDEX";"1-01-16777-A";1;"ЯНДЕКС"
"YKEN";"1-01-00304-A";10000;"Якутскэнрг"
"YKENP";"2-01-00304-A";10000;"Якутскэн-п"
"YRSB";"1-01-50099-A";10;"ТНСэнЯр"
"YRSBP";"2-01-50099-A";10;"ТНСэнЯр-п"
"YUAN";"5248";1;"YUAN ETF"
"ZAYM";"1-01-16767-A";10;"Займер ао"
"ZILL";"1-02-00036-A";1;"ЗИЛ ао"
"ZVEZ";"1-01-00169-D";1000;"ЗВЕЗДА ао"
